Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Which practices do you like (whithout especially being you favorite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What are your favorite practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What practice do you want to avoid?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What gender do you identify with,What is you sexual orientation
,,,,,,,,,Being blindfolded,Blindfolding someone,Being tied up,Tying someone,FFM threesome,MMF threesome,Threesome (non-gendered),Sex with a stranger,Mutual masturbation,Oral sex (received),Oral sex (given),PIV,Being dominant in general,Being submissive in general,Outdoor sex,Voyeurism,Exhibitionism,Cuckolding,Cuckqueaning,Being spanked,Spanking,Roleplay,Intimacy,Degradation,Dirty talking,Foot fetish,Being edged and denied orgasm,Edging and orgasm denial,Teasing,Being teased,CNC,Anal (giving),Anal (receiving),Gender play,Electric play/Fire play/Knife play,Costume/lingerie,Species play,Orgies,Discipline,Wrestling,Spanking,Being spanked,Primal play/hunting,Vibrator,Woken up by sexy things (with prior consent),On drugs (legally and with consent),Being blindfolded,Blindfolding someone,Being tied up,Tying someone,FFM threesome,MMF threesome,Threesome (non-gendered),Sex with a stranger,Mutual masturbation,Oral sex (received),Oral sex (given),PIV,Being dominant in general,Being submissive in general,Outdoor sex,Voyeurism,Exhibitionism,Cuckolding,Cuckqueaning,Being spanked,Spanking,Roleplay,Intimacy,Degradation,Dirty talking,Foot fetish,Being edged and denied orgasm,Edging and orgasm denial,Teasing,Being teased,CNC,Anal (giving),Anal (receiving),Gender play,Electric play/Fire play/Knife play,Costume/lingerie,Species play,Orgies,Discipline,Wrestling,Spanking,Being spanked,Primal play/hunting,Vibrator,Woken up by sexy things (with prior consent),On drugs (legally and with consent),Being blindfolded,Blindfolding someone,Being tied up,Tying someone,FFM threesome,MMF threesome,Threesome (non-gendered),Sex with a stranger,Mutual masturbation,Oral sex (received),Oral sex (given),PIV,Being dominant in general,Being submissive in general,Outdoor sex,Voyeurism,Exhibitionism,Cuckolding,Cuckqueaning,Being spanked,Spanking,Roleplay,Intimacy,Degradation,Dirty talking,Foot fetish,Being edged and denied orgasm,Edging and orgasm denial,Teasing,Being teased,CNC,Anal (giving),Anal (receiving),Gender play,Electric play/Fire play/Knife play,Costume/lingerie,Species play,Orgies,Discipline,Wrestling,Spanking,Being spanked,Primal play/hunting,Vibrator,Woken up by sexy things (with prior consent),On drugs (legally and with consent),Response,Response
11967047243,391837755,09/07/2020 09:42:29 PM,09/07/2020 09:43:15 PM,24.63.150.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirty talking,,,,,,,,,,,,,,,,,,,,,,Being blindfolded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blindfolding someone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Heterosexual (stricly)
11966901383,391837755,09/07/2020 07:58:12 PM,09/07/2020 08:05:20 PM,45.83.91.132,,,,,,Blindfolding someone,,Tying someone,,,,,,Oral sex (received),Oral sex (given),PIV,Being dominant in general,Being submissive in general,,,,,,,,,Intimacy,,,,,,Teasing,,CNC,,,,,,,,,,,,,,,On drugs (legally and with consent),,,,,,,,,,,,PIV,Being dominant in general,Being submissive in general,,,,,,,,,Intimacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voyeurism,Exhibitionism,Cuckolding,Cuckqueaning,,,,,Degradation,,Foot fetish,,,,,,,,,Electric play/Fire play/Knife play,,Species play,Orgies,,,,,Primal play/hunting,,,,Male,Heterosexual (stricly)
11966753692,391837755,09/07/2020 06:38:16 PM,09/07/2020 06:40:00 PM,79.136.22.14,,,,,,Blindfolding someone,,Tying someone,FFM threesome,MMF threesome,Threesome (non-gendered),Sex with a stranger,Mutual masturbation,Oral sex (received),Oral sex (given),PIV,Being dominant in general,,Outdoor sex,,Exhibitionism,,Cuckqueaning,,Spanking,Roleplay,Intimacy,Degradation,Dirty talking,,,Edging and orgasm denial,Teasing,,CNC,Anal (giving),,,Electric play/Fire play/Knife play,Costume/lingerie,,Orgies,Discipline,Wrestling,Spanking,,Primal play/hunting,Vibrator,Woken up by sexy things (with prior consent),On drugs (legally and with consent),,,,Tying someone,,,,,,,,,,,,,,,Cuckqueaning,,,,,,,,,Edging and orgasm denial,Teasing,,,,,,,,,,,,,,,Vibrator,,,,,Being tied up,,,,,,,,,,,Being submissive in general,,Voyeurism,,Cuckolding,,Being spanked,,,,,,Foot fetish,,,,,,,,,,,,,,,,Being spanked,,,,,Male,Bi/pan sexual
11966604997,391837755,09/07/2020 05:24:18 PM,09/07/2020 05:27:13 PM,79.192.194.90,,,,,,,,,,,,,,Oral sex (received),Oral sex (given),PIV,,,,,,,,,Spanking,,Intimacy,,,,,,,Being teased,,,,,,,,,,,Spanking,,,,Woken up by sexy things (with prior consent),,,,,,,,,,,,,PIV,,,,,,,,,,,Intimacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFM threesome,MMF threesome,Threesome (non-gendered),Sex with a stranger,,,,,,Being submissive in general,Outdoor sex,Voyeurism,Exhibitionism,Cuckolding,Cuckqueaning,Being spanked,,,,Degradation,,,Being edged and denied orgasm,Edging and orgasm denial,,,,,Anal (receiving),Gender play,,,Species play,Orgies,,,,,,,,On drugs (legally and with consent),Male,Heterosexual (stricly)
11966572575,391837755,09/07/2020 05:10:12 PM,09/07/2020 05:12:09 PM,217.252.162.185,,,,,,,,,,MMF threesome,,,,,Oral sex (given),PIV,Being dominant in general,,Outdoor sex,,,,,,,,Intimacy,,Dirty talking,,,Edging and orgasm denial,Teasing,,,,Anal (receiving),,,,,,,,,,,Vibrator,Woken up by sexy things (with prior consent),,,,,,,,,,,,,PIV,,,,,,,,,,,,,,,,Edging and orgasm denial,Teasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Degradation,,,,,,,,,,,Electric play/Fire play/Knife play,,Species play,,,,,,Primal play/hunting,,,,Female,Heterosexual (stricly)
11966457754,391837755,09/07/2020 04:19:11 PM,09/07/2020 04:20:37 PM,136.36.144.106,,,,,,,,Tying someone,,,,Sex with a stranger,,Oral sex (received),Oral sex (given),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrestling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrestling,,,,,,,Being blindfolded,,Being tied up,,,,,,,,,,,,,,,Cuckolding,Cuckqueaning,,,,,,,,,,,,,,,,Electric play/Fire play/Knife play,,Species play,,,,,,,,,,Male,Homosexual (stricty)
11966411619,391837755,09/07/2020 03:57:20 PM,09/07/2020 04:00:46 PM,88.98.242.5,,,,,,,,,,,,,Mutual masturbation,,,PIV,,,Outdoor sex,,,,,,,,,,,,Being edged and denied orgasm,Edging and orgasm denial,,,,Anal (giving),Anal (receiving),,,Costume/lingerie,,,,,,,,,Woken up by sexy things (with prior consent),On drugs (legally and with consent),Being blindfolded,Blindfolding someone,Being tied up,Tying someone,,,,,Mutual masturbation,Oral sex (received),Oral sex (given),PIV,Being dominant in general,Being submissive in general,,,,,,Being spanked,,,Intimacy,Degradation,Dirty talking,,,,Teasing,,,,,,,,,,,,,,,Vibrator,,,,,,,,,,,,,,,,,,Voyeurism,Exhibitionism,Cuckolding,Cuckqueaning,,,,,,,Foot fetish,,,,,CNC,,,,Electric play/Fire play/Knife play,,Species play,Orgies,Discipline,Wrestling,,,Primal play/hunting,,,,Female,Heterosexual (stricly)
11966265125,391837755,09/07/2020 02:51:18 PM,09/07/2020 02:53:10 PM,73.106.74.234,,,,,,,,Tying someone,FFM threesome,,,Sex with a stranger,,Oral sex (received),,PIV,Being dominant in general,,,,,,,,Spanking,,Intimacy,,Dirty talking,,,,,Being teased,,,,,,,,,,,Spanking,,,,,,,,,,,,,,,,,PIV,,,,,,,,,,,Intimacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMF threesome,,,,,,,,,,,,,,,,,,,,Foot fetish,Being edged and denied orgasm,Edging and orgasm denial,,,,,,,,,,,,,,,,,,,Does not want to answer,Heterosexual (stricly)
11966215897,391837755,09/07/2020 02:11:24 PM,09/07/2020 02:28:23 PM,78.190.232.149,,,,,,,,,,,,Sex with a stranger,,Oral sex (received),Oral sex (given),PIV,Being dominant in general,Being submissive in general,,,,,,,,,Intimacy,,,,,,Teasing,Being teased,,,,,,,,,,,,,,,,,,,,,,,,,,,Oral sex (given),,,,,,,,,,,,Intimacy,,,,,,Teasing,,,,,,,,,,,,,,,,,,Being blindfolded,Blindfolding someone,Being tied up,Tying someone,,MMF threesome,Threesome (non-gendered),,,,,,,,Outdoor sex,,,Cuckolding,Cuckqueaning,Being spanked,Spanking,,,Degradation,,Foot fetish,Being edged and denied orgasm,,,,CNC,,Anal (receiving),Gender play,Electric play/Fire play/Knife play,,Species play,Orgies,,Wrestling,Spanking,Being spanked,Primal play/hunting,Vibrator,Woken up by sexy things (with prior consent),On drugs (legally and with consent),Male,Heterosexual (stricly)
